Age,Gender,Sleep_Duration,Stress_Level,Diet_Type,Daily_Screen_Time,Exercise_Frequency,Caffeine_Intake,Reaction_Time,Memory_Test_Score,Cognitive_Score,Stress_Exercise_Interaction
57,1,6.5,3,1,6.5,1,41,583.33,65,36.71,3
39,1,7.6,9,1,10.8,2,214,368.24,58,54.35,18
26,0,8.2,6,0,5.7,0,429,445.21,49,32.57,0
32,0,7.8,9,0,8.3,0,464,286.33,94,70.15,0
50,0,9.7,2,1,11.3,1,365,237.65,62,87.54,2
36,1,7.4,10,2,6.6,0,381,453.43,70,31.71,0
48,0,6.7,2,2,1.4,0,39,407.13,51,59.17,0
35,1,6.0,1,2,6.8,1,2,298.46,60,85.02,1
29,0,5.1,6,1,10.2,0,244,380.08,82,50.67,0
57,1,7.9,9,1,9.1,2,355,417.96,54,44.39,18
54,1,7.3,8,0,11.7,2,50,490.61,69,42.78,16
18,1,7.6,1,2,2.6,0,2,221.63,84,100.0,0
51,0,9.5,5,1,5.5,0,30,384.25,72,67.11,0
24,1,9.3,1,1,3.5,2,342,342.53,74,94.42,2
19,0,6.0,2,1,6.1,1,67,559.14,44,31.32,2
39,1,4.6,3,2,8.7,1,405,488.88,93,52.07,3
21,0,6.3,6,0,3.1,1,158,433.19,75,63.09,6
37,0,7.5,7,1,4.8,1,147,454.81,79,59.56,7
20,1,5.7,7,0,5.6,0,207,400.35,60,43.13,0
26,0,5.8,2,1,10.7,2,497,491.49,47,33.2,4
35,1,8.7,8,1,4.0,2,281,360.05,48,63.77,16
33,0,8.4,5,1,9.4,0,100,546.35,68,28.64,0
26,0,8.2,1,1,11.0,1,283,437.39,42,45.34,1
36,0,6.7,3,1,7.5,1,127,417.94,99,78.45,3
23,0,6.7,7,0,11.6,1,178,242.71,64,74.99,7
32,1,4.1,6,2,4.9,1,492,493.84,95,49.2,6
23,0,6.9,5,1,8.5,1,54,411.75,40,46.34,5
22,1,4.1,6,0,2.2,2,218,549.06,73,43.53,12
46,1,7.3,8,0,5.0,2,459,452.06,83,58.08,16
44,1,4.1,3,1,10.4,1,332,515.78,40,19.0,3
58,0,7.4,9,1,1.3,0,8,406.82,94,68.89,0
43,0,5.2,3,0,10.9,1,156,301.99,98,88.6,3
45,0,9.4,10,1,10.3,1,63,424.84,78,55.28,10
49,1,8.2,1,1,10.2,1,305,291.0,46,72.5,1
42,0,6.8,10,1,5.2,1,36,520.81,51,28.78,10
24,1,7.4,9,1,11.9,2,86,204.58,71,88.63,18
